SHEET,CHAIN,CO_OWNED,STATE,SOUTHJ,CENTRALJ,NORTHJ,PA1,PA2,SHORE,NCALLS,EMPFT,EMPPT,NMGRS,WAGE_ST,PCTAFF,MEALS,OPEN,HRSOPEN,PSODA,PFRY,PENTREE,NREGS,NREGS11,wave,treated,post,did,emp
46,1,0,0,0,0,0,1,0,0,0,30.0,15.0,3.00,.,.,2,6.5,16.5,1.03,1.03,0.52,3,3,1,0,0,0,45.0
49,2,0,0,0,0,0,1,0,0,0,6.5,6.5,4.00,.,.,2,10.0,13.0,1.01,0.90,2.35,4,3,1,0,0,0,13.0
506,2,1,0,0,0,0,1,0,0,0,3.0,7.0,2.00,.,30.0,2,11.0,10.0,0.95,0.74,2.33,3,3,1,0,0,0,10.0
56,4,1,0,0,0,0,1,0,0,0,20.0,20.0,4.00,5.00,0.0,2,10.0,12.0,0.87,0.82,1.79,2,2,1,0,0,0,40.0
61,4,1,0,0,0,0,1,0,0,0,6.0,26.0,5.00,5.50,0.0,3,10.0,12.0,0.87,0.77,1.65,2,2,1,0,0,0,32.0
62,4,1,0,0,0,0,1,0,0,2,0.0,31.0,5.00,5.00,45.0,2,10.0,12.0,0.87,0.77,0.95,2,2,1,0,0,0,31.0
445,1,0,0,0,0,0,0,1,0,0,50.0,35.0,3.00,5.00,0.0,2,6.0,18.0,1.04,0.88,0.94,3,3,1,0,0,0,85.0
451,1,0,0,0,0,0,0,1,0,0,10.0,17.0,5.00,5.00,0.0,2,0.0,24.0,1.05,0.84,0.96,6,4,1,0,0,0,27.0
455,2,1,0,0,0,0,0,1,0,0,2.0,8.0,5.00,5.25,0.0,1,11.0,10.0,0.73,0.73,2.32,2,2,1,0,0,0,10.0
458,2,1,0,0,0,0,1,0,0,2,2.0,10.0,2.00,5.00,0.0,1,11.0,10.0,0.94,0.73,2.32,4,4,1,0,0,0,12.0
462,3,1,0,0,0,0,0,1,0,0,2.5,20.0,3.00,5.00,5.0,2,9.0,12.5,1.05,1.01,1.11,4,4,1,0,0,0,22.5
468,1,0,0,0,0,0,0,1,0,0,40.0,30.0,3.00,5.00,0.0,2,6.0,18.0,0.95,0.94,0.95,4,3,1,0,0,0,70.0
469,1,0,0,0,0,0,0,1,0,0,8.0,27.0,5.00,5.00,80.0,2,6.0,18.0,0.92,0.72,0.96,3,2,1,0,0,0,35.0
470,1,0,0,0,0,0,0,1,0,0,10.5,30.0,3.00,5.50,0.0,2,6.0,18.0,0.97,0.84,0.94,3,3,1,0,0,0,40.5
474,1,0,0,0,0,0,0,1,0,2,6.0,9.0,3.00,5.00,0.0,2,9.0,12.5,1.13,0.98,1.01,3,1,1,0,0,0,15.0
481,2,1,0,0,0,0,0,1,0,2,5.0,17.5,3.00,5.25,0.0,3,11.0,10.0,0.95,0.74,2.53,5,4,1,0,0,0,22.5
483,2,1,0,0,0,0,0,1,0,0,1.0,15.0,1.00,5.00,0.0,2,11.0,10.0,0.94,0.73,2.32,4,3,1,0,0,0,16.0
487,3,1,0,0,0,0,0,1,0,0,10.0,6.0,2.00,5.00,0.0,2,10.0,11.5,1.11,0.91,0.95,6,3,1,0,0,0,16.0
488,3,0,0,0,0,0,0,1,0,1,20.0,13.0,3.00,5.00,0.0,2,6.0,16.0,1.05,0.79,1.01,5,5,1,0,0,0,33.0
489,3,0,0,0,0,0,0,1,0,2,5.0,23.0,2.00,5.00,6.0,2,7.0,14.0,1.05,1.01,0.94,4,4,1,0,0,0,28.0
490,3,1,0,0,0,0,0,1,0,0,10.0,12.5,4.00,5.00,0.0,2,6.0,16.0,1.05,1.01,1.05,4,4,1,0,0,0,22.5
493,3,1,0,0,0,0,1,0,0,0,27.0,12.0,3.00,5.00,0.0,2,6.0,16.0,1.05,0.90,2.01,6,3,1,0,0,0,39.0
